Tipo de Solução 1,Unnamed: 0,ID Certificado,Uwdn,gtvi,gT,Área Total Vão,labels
Caixilharia de madeira com vidro duplo,423506.7718580878,1407503.958869513,2.8411283920628376,0.7226770896817996,0.44247430427888906,5.603016235718658,0
Caixilharia de madeira com vidro simples,417362.54484357656,1367328.2593441207,3.9062203536408213,0.8540457488982952,0.3789155326065563,4.652057210352548,1
Caixilharia de madeira com vidro triplo,375006.1886792453,1458799.3301886793,2.33182641509434,0.6513,0.38547000000000003,8.738207547169818,2
Caixilharia metálica com corte térmico com vidro duplo,426927.2767511497,1482120.8477761557,2.597346080682998,0.636936640157805,0.2601867281382497,11.345225872024711,3
Caixilharia metálica com corte térmico com vidro simples,403877.6152763819,1422377.569246231,3.894505648241282,0.8027326002587393,0.34516150032333887,5.868120603015056,4
Caixilharia metálica com corte térmico com vidro triplo,427878.9747663551,1428367.1663551403,1.9939103738317678,0.556658666666664,0.19007200000000052,13.793887850467273,5
Caixilharia metálica sem corte térmico com vidro duplo,413845.44522623695,1361016.4185141665,3.3939165349786204,0.7517264664800137,0.29647055139455264,5.805722500331432,6
Caixilharia metálica sem corte térmico com vidro simples,417086.1586492668,1376047.3194506336,4.698269347902881,0.8488474365510075,0.38525873215374495,3.8521876973375604,7
Caixilharia metálica sem corte térmico com vidro triplo,393662.52214452217,1268727.8065268064,3.0836142191142173,0.700359947643979,0.2830481675392677,7.016876456876446,8
Caixilharia plástica com vidro duplo,419215.27668808855,1441713.2765542017,2.377632868077273,0.7039411677950879,0.30569291882976396,8.675634176819704,9
Caixilharia plástica com vidro simples,428127.8421578422,1354301.2101232102,3.722413253413193,0.8099933920704863,0.37319779647436635,4.609723609723596,10
Caixilharia plástica com vidro triplo,417513.4913127413,1540164.0936293437,2.445186969111955,0.6361574603174608,0.2554795767195761,9.757799227799232,11
Fachada cortina,387878.6583471991,1272416.2498613421,4.409847365501961,0.7334778309955466,0.6755687307560622,3.1934692179700432,12
Tijolo de vidro,458559.03981850174,1531651.9168441521,3.03118331326967,0.6081744230768894,0.5698117712550417,1.854273543846654,13
